"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.252170583E0,-8.976062775E0,2.933941841E1,-4.222587585E1,5.219574472E1
2.262219583E0,-8.873535156E0,2.944914055E1,-4.222506714E1,5.223933193E1
2.272267583E0,-8.755607605E0,2.986003685E1,-4.218731689E1,5.242186731E1
2.282315583E0,-8.630107880E0,2.999157715E1,-4.207710648E1,5.238755913E1
2.292364583E0,-8.546863556E0,3.007839966E1,-4.185998154E1,5.224956514E1
2.302412583E0,-8.295810699E0,3.029933548E1,-4.186133575E1,5.233776492E1
2.312461583E0,-7.989002228E0,3.029187393E1,-4.182999802E1,5.226060196E1
2.322509583E0,-7.858814240E0,3.055881691E1,-4.144909668E1,5.209251259E1
2.332557583E0,-7.617511749E0,3.068048668E1,-4.152622604E1,5.218952191E1
2.342606583E0,-7.686180115E0,3.072554016E1,-4.161018372E1,5.229286349E1
2.352654583E0,-7.642517090E0,3.073647308E1,-4.168601227E1,5.235324693E1
2.362702583E0,-7.410278320E0,3.057357597E1,-4.175611877E1,5.228029483E1
2.372751583E0,-7.443099976E0,3.046226311E1,-4.194287872E1,5.236940220E1
2.382799583E0,-7.364982605E0,3.044256783E1,-4.221330261E1,5.256382617E1
2.392848583E0,-7.311889648E0,3.027584267E1,-4.209586334E1,5.236556206E1
2.402896750E0,-7.294464111E0,3.006700897E1,-4.225718307E1,5.237273868E1
2.412944750E0,-7.102416992E0,3.001642609E1,-4.228842545E1,5.234253613E1
2.422993750E0,-7.027572632E0,2.985058022E1,-4.202539825E1,5.202478270E1
2.433041750E0,-7.001533508E0,2.991234207E1,-4.217582321E1,5.217824971E1
2.443089750E0,-7.011524200E0,2.992840385E1,-4.223580933E1,5.223728954E1
2.453138750E0,-6.950683594E0,2.990558624E1,-4.225193024E1,5.222912693E1
2.463186750E0,-6.958782196E0,2.991482162E1,-4.227585983E1,5.225485171E1
2.473235750E0,-6.936481476E0,2.990418816E1,-4.231224060E1,5.227524222E1
2.483283750E0,-6.916465759E0,2.980475235E1,-4.252597427E1,5.238911384E1
2.493331750E0,-6.879234314E0,2.975516510E1,-4.240317535E1,5.225632014E1
2.503380750E0,-6.825138092E0,2.950557137E1,-4.257787704E1,5.224975469E1
2.513428750E0,-6.822872162E0,2.927702904E1,-4.302468109E1,5.248637153E1
