"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.576884306E0,-1.670179939E1,-3.583139801E1,-3.640480042E1,5.374149867E1
1.586884306E0,-1.637240028E1,-3.608760071E1,-3.601440048E1,5.354817885E1
1.596884306E0,-1.646999931E1,-3.623400116E1,-3.583139801E1,5.355420432E1
1.606884306E0,-1.601860046E1,-3.670980072E1,-3.545319748E1,5.348957133E1
1.616884306E0,-1.609179878E1,-3.694160080E1,-3.502619934E1,5.338972277E1
1.626884306E0,-1.607959938E1,-3.696599960E1,-3.505059814E1,5.341893927E1
1.636884306E0,-1.579899979E1,-3.712459946E1,-3.485540009E1,5.331738173E1
1.646884306E0,-1.570139980E1,-3.729539871E1,-3.494079971E1,5.346344738E1
1.656884306E0,-1.539639950E1,-3.758819962E1,-3.468460083E1,5.341295164E1
1.666884306E0,-1.514019966E1,-3.780780029E1,-3.440399933E1,5.331313702E1
1.676884306E0,-1.522559929E1,-3.805179977E1,-3.461140060E1,5.364426709E1
1.686884306E0,-1.531099987E1,-3.824699783E1,-3.435519791E1,5.364269926E1
1.696884306E0,-1.518900013E1,-3.845439911E1,-3.468460083E1,5.396728704E1
1.706884306E0,-1.479859924E1,-3.871059799E1,-3.468460083E1,5.404193253E1
1.716884306E0,-1.460339928E1,-3.885699844E1,-3.436740112E1,5.389103690E1
1.726884306E0,-1.472539997E1,-3.894239807E1,-3.484320068E1,5.428992914E1
1.736884306E0,-1.472539997E1,-3.894239807E1,-3.483099747E1,5.428209794E1
1.746884306E0,-1.451799965E1,-3.893019867E1,-3.496519852E1,5.430375484E1
1.756884306E0,-1.398119926E1,-3.906439972E1,-3.485540009E1,5.418856128E1
1.766884306E0,-1.365180016E1,-3.913759995E1,-3.472119904E1,5.407111095E1
1.776884306E0,-1.326139927E1,-3.907659912E1,-3.470899963E1,5.392179490E1
1.786884306E0,-1.315159988E1,-3.922299957E1,-3.456259918E1,5.390715664E1
1.796884306E0,-1.306619930E1,-3.928400040E1,-3.498960114E1,5.420544658E1
1.806884306E0,-1.243179989E1,-3.935720062E1,-3.456259918E1,5.383411698E1
1.816884306E0,-1.217560005E1,-3.971099854E1,-3.423320007E1,5.382490714E1
1.826884306E0,-1.241959953E1,-3.975979996E1,-3.425759888E1,5.393209829E1
1.836884306E0,-1.234639931E1,-3.989400101E1,-3.395259857E1,5.382140691E1
1.846884306E0,-1.240740013E1,-3.995499802E1,-3.380619812E1,5.378851621E1
1.856884306E0,-1.229759979E1,-4.027219772E1,-3.380619812E1,5.399944353E1
1.866884306E0,-1.213899994E1,-4.038199997E1,-3.348899841E1,5.384769499E1
1.876884306E0,-1.196819973E1,-4.052840042E1,-3.344020081E1,5.388910906E1
1.886884306E0,-1.193159962E1,-4.066259766E1,-3.329380035E1,5.389143772E1
1.896884306E0,-1.184619999E1,-4.062599945E1,-3.344020081E1,5.393562195E1
1.906884306E0,-1.145580006E1,-4.080899811E1,-3.348899841E1,5.401965102E1
1.916884306E0,-1.149240017E1,-4.079679871E1,-3.313520050E1,5.379958697E1
1.926884306E0,-1.110200024E1,-4.085779953E1,-3.356219864E1,5.402809796E1
1.936884306E0,-1.089459991E1,-4.094319916E1,-3.336700058E1,5.392953358E1
1.946884306E0,-1.102880001E1,-4.069919968E1,-3.344020081E1,5.381734213E1
1.956884306E0,-1.100440025E1,-4.084560013E1,-3.340359879E1,5.390046648E1
1.966884306E0,-1.106540012E1,-4.083340073E1,-3.353779984E1,5.398697725E1
1.976884306E0,-1.124839973E1,-4.077239990E1,-3.412339783E1,5.434446954E1
1.986884306E0,-1.102880001E1,-4.088219833E1,-3.390380096E1,5.424441252E1
1.996884306E0,-1.108979988E1,-4.097979736E1,-3.428199768E1,5.456723209E1
2.006884306E0,-1.106540012E1,-4.106520081E1,-3.405019760E1,5.448127893E1
2.016884306E0,-1.101659966E1,-4.112619781E1,-3.376959991E1,5.434257533E1
2.026884306E0,-1.073600006E1,-4.132139969E1,-3.406240082E1,5.461654437E1
2.036884306E0,-1.051639938E1,-4.129700089E1,-3.372079849E1,5.434270134E1
2.046884306E0,-1.033339977E1,-4.135799789E1,-3.367200089E1,5.432372211E1
2.056884306E0,-9.979599953E0,-4.137019730E1,-3.326939774E1,5.401794577E1
2.066884306E0,-1.002839947E1,-4.133359909E1,-3.311079788E1,5.390139280E1
2.076884306E0,-9.552599907E0,-4.119939804E1,-3.340359879E1,5.389288428E1
2.086884306E0,-9.394000053E0,-4.099200058E1,-3.368420029E1,5.388150608E1
2.096884306E0,-9.381799698E0,-4.069919968E1,-3.402579880E1,5.387205216E1
2.106884306E0,-9.369600296E0,-4.082119751E1,-3.401359940E1,5.395446710E1
2.116884306E0,-9.442799568E0,-4.063819885E1,-3.444059753E1,5.409976366E1
2.126884306E0,-9.235400200E0,-4.067480087E1,-3.437960052E1,5.405265003E1
2.136884306E0,-9.052399635E0,-4.080899811E1,-3.419659805E1,5.400673647E1
2.146884306E0,-9.308599472E0,-4.073579788E1,-3.473339844E1,5.433658271E1
2.156884306E0,-9.235400200E0,-4.083340073E1,-3.459920120E1,5.431172945E1
2.166884306E0,-9.320799828E0,-4.100419998E1,-3.424539948E1,5.423070266E1
2.176884306E0,-9.369600296E0,-4.113840103E1,-3.450159836E1,5.450245626E1
2.186884306E0,-9.235400200E0,-4.110179901E1,-3.426979828E1,5.430533650E1
2.196884306E0,-8.979199409E0,-4.127259827E1,-3.407460022E1,5.426906826E1
2.206884306E0,-9.186599731E0,-4.128479767E1,-3.430640030E1,5.445876637E1
2.216884306E0,-9.113399506E0,-4.122380066E1,-3.417219925E1,5.431569748E1
2.226884306E0,-8.722999573E0,-4.135799789E1,-3.380619812E1,5.412424358E1
2.236884306E0,-8.942600250E0,-4.146780014E1,-3.364759827E1,5.414526218E1
2.246884306E0,-9.015799522E0,-4.146780014E1,-3.361100006E1,5.413466925E1
2.256884306E0,-8.698599815E0,-4.155319977E1,-3.347679901E1,5.406505453E1
2.266884306E0,-8.759599686E0,-4.141899872E1,-3.339139938E1,5.391891685E1
2.276884306E0,-9.015799522E0,-4.146780014E1,-3.348899841E1,5.405900576E1
2.286884306E0,-8.808400154E0,-4.156539917E1,-3.324499893E1,5.394905259E1
2.296884306E0,-8.857199669E0,-4.165079880E1,-3.336700058E1,5.409801987E1
2.306884306E0,-8.759599686E0,-4.169960022E1,-3.345240021E1,5.417241295E1
2.316884306E0,-8.759599686E0,-4.156539917E1,-3.387939835E1,5.433439635E1
2.326884306E0,-8.881599426E0,-4.160199738E1,-3.428199768E1,5.463391217E1
